country,countrycode,year,month,cpi_yoy_nsa,exchnage_rate_vs_usd,ind_prod_const_sa,usa_imp_sa,exports_gdp_pct,gdp_per_capita_ppp,population
Malaysia,MYS,1999,1,5.18137492946,3.8,4577605078.69062,77781.0,121.31139365083587,17428.62565630429,22435531
Singapore,SGP,1999,1,-0.66132399488,1.67857142857,2589486600.39138,77781.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,1,10.555899891,38.29428571429,6522064355.95467,77781.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,1,3.27310246577,36.59380952381,6098279356.26862,77781.0,56.438542861473465,11253.38749559045,62299043
Singapore,SGP,1999,2,-0.98715621007,1.6996,2692235792.49924,79842.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,2,9.05504335535,38.81125,6383730713.57024,79842.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,2,2.48845229943,37.0605,5710419444.13704,79842.0,56.438542861473465,11253.38749559045,62299043
Malaysia,MYS,1999,2,3.85039281608,3.8,4915194677.47291,79842.0,121.31139365083587,17428.62565630429,22435531
Singapore,SGP,1999,3,-0.51966330149,1.72943478261,2751340926.11105,79569.0,176.7450129057623,63746.4792227046,3958723
Malaysia,MYS,1999,3,3.00867910319,3.8,5002587559.26034,79569.0,121.31139365083587,17428.62565630429,22435531
Philippines,PHL,1999,3,7.78345676437,38.88065217391,6391504609.64962,79569.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,3,1.310317117,37.49934782609,5913655456.81979,79569.0,56.438542861473465,11253.38749559045,62299043
Philippines,PHL,1999,4,7.17688483844,38.2325,6554800812.89118,80801.0,38.411158735542564,4650.759269475891,77753257
Singapore,SGP,1999,4,-0.31919497944,1.71304545455,2700818515.29972,80801.0,176.7450129057623,63746.4792227046,3958723
Malaysia,MYS,1999,4,2.84468836117,3.8,5085847532.64948,80801.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,4,0.52598621542,37.59113636364,5828666646.72617,80801.0,56.438542861473465,11253.38749559045,62299043
Philippines,PHL,1999,5,5.86542582502,37.82595238095,6407625929.56512,83200.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,5,-0.63809927657,37.01523809524,5529236287.32773,83200.0,56.438542861473465,11253.38749559045,62299043
Malaysia,MYS,1999,5,3.01300363485,3.8000952381,5122870067.29478,83200.0,121.31139365083587,17428.62565630429,22435531
Singapore,SGP,1999,5,0.14506114259,1.713,2737584221.4805,83200.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,6,5.00050510153,37.88295454545,6142145445.80659,85868.0,38.411158735542564,4650.759269475891,77753257
Singapore,SGP,1999,6,0.12754063662,1.71,2939186901.73005,85868.0,176.7450129057623,63746.4792227046,3958723
Malaysia,MYS,1999,6,2.05391004671,3.80004545455,5287713713.8261,85868.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,6,-1.16805779606,36.90704545455,5794370593.98576,85868.0,56.438542861473465,11253.38749559045,62299043
Malaysia,MYS,1999,7,2.44698651778,3.80009090909,5226599532.07662,87186.0,121.31139365083587,17428.62565630429,22435531
Singapore,SGP,1999,7,0.16400775309,1.69531818182,2889334065.0379,87186.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,7,4.78172568418,38.29886363636,6124369518.05173,87186.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,7,-1.01746072209,37.09840909091,5774994971.86789,87186.0,56.438542861473465,11253.38749559045,62299043
Malaysia,MYS,1999,8,2.19404711808,3.80013636364,5346821915.74768,87837.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,8,-0.9909178826,38.03977272727,5757923355.21406,87837.0,56.438542861473465,11253.38749559045,62299043
Singapore,SGP,1999,8,0.37465385242,1.67886363636,2872777323.18166,87837.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,8,4.70345600897,39.35709090909,6052079871.41541,87837.0,38.411158735542564,4650.759269475891,77753257
Singapore,SGP,1999,9,0.43071237381,1.69613636364,3001335554.06543,88512.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,9,4.89039457951,40.25568181818,6164388543.05832,88512.0,38.411158735542564,4650.759269475891,77753257
Thailand,THA,1999,9,-0.70088144735,39.98022727273,5968033833.46964,88512.0,56.438542861473465,11253.38749559045,62299043
Malaysia,MYS,1999,9,2.08138912734,3.8,5607040110.65385,88512.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,10,-0.51256414096,39.405,5741364552.2353,89923.0,56.438542861473465,11253.38749559045,62299043
Philippines,PHL,1999,10,4.97281422392,40.27261904762,6123915113.39126,89923.0,38.411158735542564,4650.759269475891,77753257
Malaysia,MYS,1999,10,2.07639203429,3.8,5368556090.57829,89923.0,121.31139365083587,17428.62565630429,22435531
Singapore,SGP,1999,10,0.51303685156,1.67523809524,2965543773.8762,89923.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,11,3.51979026041,40.38863636364,5975856457.41564,90984.0,38.411158735542564,4650.759269475891,77753257
Malaysia,MYS,1999,11,1.6237459983,3.8,5740166948.26354,90984.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,11,0.06955994775,38.74568181818,5897258357.85528,90984.0,56.438542861473465,11253.38749559045,62299043
Singapore,SGP,1999,11,0.35844727159,1.67077272727,2996587664.85666,90984.0,176.7450129057623,63746.4792227046,3958723
Malaysia,MYS,1999,12,2.508778406,3.8,5607768414.15792,93115.0,121.31139365083587,17428.62565630429,22435531
Thailand,THA,1999,12,0.573818676,38.19934782609,5635331240.17541,93115.0,56.438542861473465,11253.38749559045,62299043
Singapore,SGP,1999,12,0.67765243778,1.67434782609,2855551007.20623,93115.0,176.7450129057623,63746.4792227046,3958723
Philippines,PHL,1999,12,3.81308630853,40.56304347826,6249718367.11163,93115.0,38.411158735542564,4650.759269475891,77753257
Malaysia,MYS,2000,1,1.63147052548,3.8,5764358978.77635,93900.0,119.80970872696766,18532.909670622656,22967816
Singapore,SGP,2000,1,0.72809610326,1.67571428571,3248773626.29201,93900.0,188.35089028475105,68314.54440271664,4027887
Philippines,PHL,2000,1,2.20190225796,40.45595238095,6174086709.86637,93900.0,43.344219224021856,4740.438916945692,79625397
Thailand,THA,2000,1,0.73143676001,37.37785714286,5955034292.59617,93900.0,64.840250738685,11622.525027853724,63007815
Thailand,THA,2000,2,1.01962728633,37.76452380952,5909259133.69048,95901.0,64.840250738685,11622.525027853724,63007815
